#Node Time X Y
56 154.0 3500.0 4418.462520710862
56 156.0 3500.0 4458.462520710862
56 158.0 3500.0 4498.462520710862
56 160.0 3500.0 4538.462520710862
57 0.0 9143.591604860558 1500.0
57 2.0 9183.591604860558 1500.0
57 4.0 9223.591604860558 1500.0
57 6.0 9263.591604860558 1500.0
57 8.0 9303.591604860558 1500.0
57 10.0 9343.591604860558 1500.0
57 12.0 9383.591604860558 1500.0000000000002
57 14.0 9423.591604860558 1500.0
57 16.0 9463.591604860558 1500.0
57 18.0 9503.591604860558 1500.0
57 20.0 9543.591604860558 1500.0
57 22.0 9583.591604860558 1500.0
57 24.0 9623.591604860558 1500.0
57 26.0 9663.591604860558 1500.0
57 28.0 9703.591604860558 1500.0
57 30.0 9743.591604860558 1500.0
57 32.0 9783.591604860558 1500.0
57 34.0 9823.591604860558 1500.0
57 36.0 9863.591604860558 1500.0
57 38.0 9903.591604860558 1500.0
57 40.0 9943.591604860558 1500.0
57 42.0 9983.591604860558 1500.0
57 44.0 10000.0 1476.4083951394423
57 46.0 10000.0 1436.4083951394423
57 48.0 10000.0 1396.4083951394423
57 50.0 10000.0 1356.4083951394423
57 52.0 10000.0 1316.4083951394423
57 54.0 10000.0 1276.4083951394423
57 56.0 10000.0 1236.4083951394423
57 58.0 10000.0 1196.4083951394423
57 60.0 10000.0 1156.4083951394423
57 62.0 10000.0 1116.4083951394423
57 64.0 10000.0 1076.4083951394423
57 66.0 10000.0 1036.4083951394423
57 68.0 10000.0 996.4083951394422
57 70.0 10000.0 956.4083951394423
57 72.0 10000.0 916.4083951394423
57 74.0 10000.0 876.4083951394422
57 76.0 10000.0 836.4083951394423
57 78.0 10000.0 796.4083951394423
57 80.0 10000.0 756.4083951394423
57 82.0 10000.0 716.4083951394423
57 84.0 10000.0 676.4083951394423
57 86.0 10000.0 636.4083951394423
57 88.0 10000.0 596.4083951394423
57 90.0 10000.0 556.4083951394423
57 92.0 10000.0 516.4083951394423
57 94.0 9976.408395139442 500.0
57 96.0 9936.408395139442 500.0
57 98.0 9896.408395139442 499.99999999999994
57 100.0 9856.408395139442 500.0
57 102.0 9816.408395139442 500.0
57 104.0 9776.408395139442 500.0
57 106.0 9736.408395139442 500.0
57 108.0 9696.408395139442 500.0
57 110.0 9656.408395139442 500.0
57 112.0 9616.408395139442 500.0
57 114.0 9576.408395139442 500.0
57 116.0 9536.408395139442 500.0
57 118.0 9500.0 496.4083951394423
57 120.0 9500.0 456.4083951394423
57 122.0 9500.0 416.4083951394423
57 124.0 9500.0 376.4083951394423
57 126.0 9500.0 336.4083951394423
57 128.0 9500.0 296.4083951394423
57 130.0 9500.0 256.4083951394423
57 132.0 9500.0 216.40839513944226
57 134.0 9500.0 176.4083951394423
57 136.0 9500.0 136.40839513944232
57 138.0 9500.0 96.40839513944228
57 140.0 9500.0 56.40839513944229
57 142.0 9500.0 16.408395139442312
57 144.0 9523.591604860558 0.0
57 146.0 9563.591604860558 0.0
57 148.0 9603.591604860558 0.0
57 150.0 9643.591604860558 0.0
57 152.0 9683.591604860558 0.0
57 154.0 9723.591604860558 0.0
57 156.0 9763.591604860558 0.0
57 158.0 9803.591604860558 0.0
57 160.0 9843.591604860558 0.0
58 0.0 9000.0 2137.6562445490254
58 2.0 9000.0 2097.6562445490254
58 4.0 9000.0 2057.656244549026
